cve,repo,commit
CVE-2014-3773,TeamPass,8820c8934d9ba0508ac345e73ad0be29049ec6de
CVE-2014-3773,TeamPass,7715512f2bd5659cc69e063a1c513c19e384340f
CVE-2014-3774,TeamPass,8820c8934d9ba0508ac345e73ad0be29049ec6de
CVE-2014-3774,TeamPass,fd549b245c0f639a8d47bf4f74f92c37c053706f
CVE-2017-14921,Tine-2.0-Open-Source-Groupware-and-CRM,bc8a6fbd3128cf5ef27d808f6c6ba869fdc2262b
CVE-2017-14921,Tine-2.0-Open-Source-Groupware-and-CRM,24e39e1e930097b8793a03b8864d3c484ede546b
CVE-2017-14921,Tine-2.0-Open-Source-Groupware-and-CRM,146c5aaafd826c1c8990333c393bff6f64c90786
CVE-2017-14922,Tine-2.0-Open-Source-Groupware-and-CRM,bc8a6fbd3128cf5ef27d808f6c6ba869fdc2262b
CVE-2017-14922,Tine-2.0-Open-Source-Groupware-and-CRM,24e39e1e930097b8793a03b8864d3c484ede546b
CVE-2017-14922,Tine-2.0-Open-Source-Groupware-and-CRM,146c5aaafd826c1c8990333c393bff6f64c90786
CVE-2017-14923,Tine-2.0-Open-Source-Groupware-and-CRM,bc8a6fbd3128cf5ef27d808f6c6ba869fdc2262b
CVE-2017-14923,Tine-2.0-Open-Source-Groupware-and-CRM,24e39e1e930097b8793a03b8864d3c484ede546b
CVE-2017-14923,Tine-2.0-Open-Source-Groupware-and-CRM,146c5aaafd826c1c8990333c393bff6f64c90786
CVE-2022-23614,Twig,2eb33080558611201b55079d07ac88f207b466d5
CVE-2022-23614,Twig,22b9dc3c03ee66d7e21d9ed2ca76052b134cb9e9
CVE-2017-14723,WordPress,fc930d3daed1c3acef010d04acc2c5de93cd18ec
CVE-2017-14723,WordPress,70b21279098fc973eae803693c0705a548128e48
CVE-2018-8729,activity-log,e7bcd12fcb0add82bed762a971f427a360664bd9
CVE-2018-8729,activity-log,950c46b2290c991187ff3471640e9688b16908fb
CVE-2021-43810,admidio,fcb0609abc1d2f65bc1377866bd678e5d891404b
CVE-2021-43810,admidio,c043267d362f7813543cc2785119bf3e3e54fe21
CVE-2022-24739,alltube,8913f27716400dabf4906a5ad690a5238f73496a
CVE-2022-24739,alltube,3a4f09dda0a466662a4e52cde674749e0c668e8d
CVE-2022-24739,alltube,bc14b6e45c766c05757fb607ef8d444cbbfba71a
CVE-2021-41166,android,aa47197109970b8449c4e44601eba36e3481b086
CVE-2021-41166,android,b6ecf515b38c2d82d32743f27236534f3e03ee0c
CVE-2015-6240,ansible,ca2f2c4ebd7b5e097eab0a710f79c1f63badf95b
CVE-2015-6240,ansible,952166f48eb0f5797b75b160fd156bbe1e8fc647
CVE-2022-24803,asciidoctor-include-ext,cbaccf3de533cbca224bf61d0b74e4b84d41d8ee
CVE-2022-24803,asciidoctor-include-ext,c7ea001a597c7033575342c51483dab7b87ae155
CVE-2017-1000501,awstats,cf219843a74c951bf5986f3a7fffa3dcf99c3899
CVE-2017-1000501,awstats,06c0ab29c1e5059d9e0279c6b64d573d619e1651
CVE-2016-8901,b2evolution,999b5ad1d59760d7e450ceb541f55432fc74cd27
CVE-2016-8901,b2evolution,25c21cf9cc4261324001f9039509710b37ee2c4d
CVE-2017-1000423,b2evolution,b899d654d931f3bf3cfbbdd71e0d1a0f3a16d04c
CVE-2017-1000423,b2evolution,0096a3ebc85f6aadbda2c4427cd092a538b161d2
CVE-2018-1000180,bc-java,73780ac522b7795fc165630aba8d5f5729acc839
CVE-2018-1000180,bc-java,22467b6e8fe19717ecdf201c0cf91bacf04a55ad
CVE-2012-2673,bdwgc,83231d0ab5ed60015797c3d1ad9056295ac3b2bb
CVE-2012-2673,bdwgc,6a93f8e5bcad22137f41b6c60a1c7384baaec2b3
